Family;Qsize_R13;Qsize_R14;Cur_Charge_comparable_R13;Cur_Charge_comparable_R14;Exp_Charge__R13;Exp_Charge__R14;Exp_ChargeRates_R13;Exp_ChargeRates_R14;Exp_Charge__comparable_R13;Exp_Charge__comparable_R14;Eff_Gross_R13;Eff_Gross_R14;predFamilies_R13;predFamilies_R14;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
2.0;0.0;0.0;1.0;0.16666666666666666;12.0;11.0;0.9230769230769231;0.6470588235294118;1.0909090909090908;1.0;0.8571428571428571;1.4285714285714286;1.0;0.0;0.8743016759776536;0.09776536312849161;0.018156424581005588;0.0;0.009776536312849162;0.0
1.0;1.0;0.0;1.0;0.0;21.0;4.0;1.0;0.26666666666666666;5.25;1.0;2.0;0.8;0.0;1.0;0.8571428571428571;0.09203296703296704;0.03571428571428571;0.0;0.01510989010989011;1.0
1.0;0.0;0.0;1.0;1.0;10.0;4.0;1.0;1.0;2.5;1.0;2.0;0.8;0.0;1.0;0.9104938271604939;0.07561728395061729;0.007716049382716049;0.006172839506172839;0.0;1.0
5.0;0.0;0.0;0.0;1.0;10.0;12.0;0.8333333333333334;1.0;1.0;1.2;0.9090909090909091;0.9090909090909091;0.0;0.0;0.915625;0.06875;0.0109375;0.0015625;0.003125;0.0
1.0;1.0;0.0;1.0;0.0;18.0;4.0;1.0;0.3333333333333333;4.5;1.0;2.0;0.8;0.0;1.0;0.909375;0.0625;0.0078125;0.0078125;0.0125;1.0
5.0;0.0;0.0;1.0;0.2;11.0;11.0;0.9166666666666666;0.6875;1.0;1.0;0.8571428571428571;1.4285714285714286;1.0;0.0;0.8861538461538462;0.06769230769230769;0.036923076923076927;0.0;0.009230769230769232;0.0
2.0;1.0;0.0;1.0;0.0;20.0;10.0;1.0;0.5;2.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.8858024691358025;0.06481481481481481;0.033950617283950615;0.0;0.015432098765432098;1.0
2.0;0.0;0.0;1.0;1.0;14.0;8.0;0.7777777777777778;0.6666666666666666;1.75;1.0;2.0;0.8;0.0;1.0;0.8850393700787401;0.08031496062992126;0.01732283464566929;0.004724409448818898;0.012598425196850394;1.0
1.0;0.0;0.0;0.0;1.0;10.0;14.0;0.7142857142857143;1.0;1.0;1.4;0.9090909090909091;0.9090909090909091;0.0;0.0;0.9141914191419142;0.06435643564356436;0.01485148514851485;0.0;0.006600660066006601;0.0
1.0;0.0;0.0;1.0;0.0;9.0;10.0;1.0;0.7692307692307693;1.0;1.1111111111111112;0.8571428571428571;1.4285714285714286;1.0;0.0;0.9168081494057725;0.05602716468590832;0.022071307300509338;0.0;0.0050933786078098476;1.0
5.0;0.0;1.0;0.0;1.0;10.0;15.0;0.6666666666666666;1.0;1.0;1.5;0.9090909090909091;0.9090909090909091;0.0;0.0;0.8688524590163934;0.08852459016393442;0.03442622950819672;0.0;0.00819672131147541;0.0
1.0;0.0;0.0;1.0;0.0;12.0;4.0;1.0;0.6666666666666666;3.0;1.0;2.0;0.8;0.0;1.0;0.921146953405018;0.07168458781362007;0.0035842293906810036;0.0;0.0035842293906810036;1.0
4.0;0.0;0.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.8842105263157894;0.08596491228070176;0.028070175438596492;0.0017543859649122807;0.0;0.0
2.0;1.0;0.0;1.0;0.0;18.0;10.0;1.0;0.5555555555555556;1.8;1.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.8650519031141869;0.09169550173010381;0.029411764705882353;0.0;0.01384083044982699;1.0
2.0;0.0;0.0;0.5;1.0;12.0;8.0;0.75;0.8;1.5;1.0;2.0;0.8;0.0;1.0;0.8745519713261649;0.1057347670250896;0.008960573476702509;0.0;0.010752688172043012;1.0
2.0;0.0;0.0;0.0;1.0;10.0;7.0;0.7692307692307693;1.0;1.4285714285714286;1.0;2.0;0.8;0.0;1.0;0.9104761904761904;0.0838095238095238;0.0;0.0;0.005714285714285714;1.0
3.0;0.0;0.0;0.0;1.0;10.0;12.0;0.8333333333333334;1.0;1.0;1.2;0.9090909090909091;0.9090909090909091;0.0;0.0;0.924901185770751;0.05928853754940711;0.011857707509881422;0.0;0.003952569169960474;0.0
2.0;1.0;0.0;1.0;0.2;20.0;6.0;0.9090909090909091;0.375;3.3333333333333335;1.0;2.0;0.8;0.0;1.0;0.9069767441860465;0.05813953488372093;0.011627906976744186;0.0;0.023255813953488372;1.0
